Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Total_Casualties,Flooded_Population_Proxy,Hazard_Exposure_Product,Duration_Weighted_Inundation,Infrastructure_Risk_Score,Risk_Level
"Almora
",0.649027255,0.000454012,0.648573243,0,0,618943,7.0,0,4017.1087629146505,8.655278247734241,4.543190785,22.09,Low
Alwar,0.348076896,0.005601607,0.342475289,102,15,4491235,14.0,117,15632.9513800656,5.331716063211103,4.873076544,33.72,High
Ambala,4.251029067,0.0,4.251029067,36,11,1296203,5.0,47,55101.966297326006,59.833023908525284,21.255145335,28.27,Moderate
Ambedkar Nagar,3.80490503,0.342207082,3.462697948,44,0,2918048,22.0,44,111028.95512981439,56.64143640608306,83.70791066,41.06,Critical
Amethi,2.870234132,0.0,2.870234132,49,6,3139220,21.0,55,90102.9639185704,42.937225127066164,60.274916772000005,39.5,Critical
Amravati,1.132570579,0.452234552,0.680336027,430,34,3195039,5.0,464,36186.071701575805,16.962634331634806,5.662852895,28.19,Moderate
Amreli,0.551647653,0.455725673,0.09592198,224,10,1650731,18.0,234,9106.21881884343,7.897790163244095,9.929657753999999,32.5,High
Amritsar,2.592469047,0.034259992,2.558209055,117,21,2748187,7.0,138,71245.89732867788,38.43711877702249,18.147283328999997,30.41,High
Amroha,3.77465624,0.02670143,3.74795481,54,3,2208108,24.0,57,83348.4864079392,55.138846093162385,90.59174976,40.99,Critical
Anand,5.640448142,0.236729361,5.403718781,42,1,2767476,22.0,43,156098.04862229593,83.66728649932361,124.08985912400001,43.06,Critical
Anantapur,0.698641838,0.216018195,0.482623643,118,1,4537583,10.0,119,31701.45327197554,10.708715910369394,6.98641838,31.91,High
Anantnag,0.462302357,0.159500867,0.30280149,81,44,1290100,4.0,125,5964.162707657,6.5047009862001275,1.849209428,23.07,Low
Anjaw,1.599292296,0.251543379,1.347748917,5,1,24066,5.0,6,384.88568395536,16.134615278080858,7.99646148,9.24,Low
Anugul,1.964959616,1.692681852,0.272277764,24,0,1393181,34.0,24,27375.44402778496,27.79848194705283,66.808626944,43.38,Critical
Anuppur,0.69532992,0.16785608,0.52747384,2,0,902339,9.0,2,6274.2330468288,9.534883043747588,6.25796928,24.88,Moderate
Araria,6.399493143,0.0,6.399493143,162,0,3634320,23.0,162,232578.0591946776,96.67031373349094,147.188342289,45.59,Critical
Aravalli,1.017301706,0.334042991,0.683258715,39,1,1276998,24.0,40,12990.922439585882,14.303285742317223,24.415240944,35.53,High
Ariyalur,2.450977499,0.08746038,2.363517119,23,4,772923,7.0,27,18944.16881459577,33.230196079900146,17.156842493,25.21,Moderate
Arwal,22.2718737,0.595563792,21.67630991,85,0,591972,27.0,85,131843.256179364,296.02029085805896,601.3405899,60.36,Critical
Ashoknagar,1.106305566,0.886532248,0.219773318,6,4,1071470,6.0,10,11853.732248020202,15.360547233980984,6.637833396,24.54,Moderate
Auraiya,6.808487542,0.145826885,6.662660657,46,1,1619128,24.0,47,110238.12816903375,97.34366235016267,163.40370100799998,43.51,Critical
Aurangabad,1.7501334069999999,0.48206176500000003,1.281443928,301,46,3160597,13.0,347,55314.66395763979,26.19297226971308,22.751734290999998,33.62,High
Azamgarh,6.067454778,0.055490347,6.011964431,257,11,5177742,20.0,268,314157.15437151276,93.80212159014629,121.34909556,44.84,Critical
Badgam,3.988476641,0.182326085,3.806150556,51,11,992328,6.0,62,39578.77048210248,55.0721275865769,23.930859846,27.53,Moderate
Bagalkote,1.462562203,1.460163536,0.002398667,67,4,2065589,14.0,71,30210.52398332567,21.267009433860565,20.475870842,32.49,High
Bageshwar,0.57268385,0.001914048,0.570769802,40,13,256564,2.0,53,1469.3005929140002,7.132855994297381,1.1453677,15.55,Low
Baghpat,4.30209073,0.0,4.30209073,58,0,1340897,26.0,58,57686.605535848095,60.697553212106406,111.85435898,40.82,Critical
Bahraich,4.089125081,0.40923834,3.679886741,225,32,4156731,15.0,257,169973.9298707021,62.31924658822248,61.336876215,38.72,Critical
Baksa,3.829965692,0.097900998,3.732064694,51,1,1258285,7.0,52,48191.8838075822,53.79286790074961,26.809759844,28.84,High
Balaghat,1.159502036,0.086946009,1.072556027,118,108,1884118,6.0,226,21846.38657064248,16.753611171559516,6.957012215999999,26.58,Moderate
Balangir,1.245116533,0.149789566,1.095326967,25,0,2028038,32.0,25,25251.43643352254,18.08230430327602,39.843729056,42.3,Critical
Baleshwar,12.64357177,3.878298705,8.765273065,220,5,2513933,16.0,225,317850.92310471414,186.33286146136487,202.29714832,48.96,Critical
Ballari,1.132672375,0.584051989,0.548620386,147,30,2961339,8.0,177,33542.26878310125,16.87812370923325,9.061379,29.69,High
Ballia,14.2259764,0.925904877,13.30007152,312,13,3696633,18.0,325,525882.1381746121,215.13849128323406,256.0675752,52.61,Critical
Balod,0.692282824,0.717205888,0.024923064,0,0,961306,3.0,0,6654.95632408144,9.536922171626111,2.076848472,21.78,Low
Baloda Bazar,3.669338228,0.368934666,3.300403562,0,0,1681629,2.0,0,61704.655750134116,52.60096933406505,7.338676456,26.95,Moderate
Balrampur,2.5498756809999996,0.0410944335,2.5087812475,58,26,853775,20.0,84,21770.201095457745,34.82473368806051,50.99751361999999,33.36,High
Bametara,2.704068243,0.320047689,2.384020554,3,0,909116,2.0,3,24583.11704803188,37.10043573582385,5.408136486,23.3,Low
Banas Kantha,0.684661264,0.116877662,0.567783602,109,2,3729629,18.0,111,25535.32505391056,10.360170727786715,12.323902752,35.79,High
Banda,6.835722082,0.522039626,6.313682456,87,4,2069729,22.0,91,141480.9222905578,99.4114190015965,150.385885804,43.47,Critical
Bandipore,2.552861234,0.616409408,1.936451826,30,4,378179,7.0,34,9654.38508612886,32.78671734441968,17.870028638,22.67,Low
Bangalore,0.342520348,0.227953363,0.114566985,75,37,13403998,6.0,112,45911.42059551304,5.621123233556115,2.055122088,33.44,High
Banka,2.03422427,0.348262775,1.685961495,120,0,2787874,26.0,120,56711.609525019805,30.189495641026912,52.88983102,41.07,Critical
Bankura,1.837666654,0.435897763,1.401768891,203,26,3957405,35.0,229,72723.9120487287,27.91617665444932,64.31833289,47.54,Critical
Banswara,0.908342871,0.925230196,0.016887325,72,8,2229890,17.0,80,20255.0468461419,13.27766854733923,15.441828807,33.7,High
Bara Banki,3.016814521,0.151297728,2.865516793,202,10,3807867,13.0,212,114876.28459636707,45.71252340607063,39.218588773,35.8,High
Baramula,1.128824654,0.217682121,0.911142533,75,39,1224436,5.0,114,13821.735440451439,15.823854635583977,5.64412327,24.29,Moderate
Baran,2.698445577,0.273336329,2.425109248,43,4,1450001,19.0,47,39127.487850955775,38.28305111655646,51.27046596300001,35.14,High
Bareilly,4.170101962,0.0,4.170101962,85,7,5352228,19.0,92,223193.36483871337,64.60748839364516,79.231937278,42.04,Critical
Bargarh,1.309118184,1.345216816,0.036098632,139,0,1562701,24.0,139,20457.602952549838,18.67054788587047,31.418836415999998,37.04,High
Barmer,0.88895207,0.014956261,0.873995809,85,8,3345308,20.0,93,29738.184713875602,13.354788839973024,17.7790414,36.75,High
Barnala,1.6671773,0.0,1.6671773,6,0,684088,7.0,6,11404.959848024,22.399932964618486,11.6702411,23.73,Moderate
Barpeta,13.96647843,3.478605956,10.48787247,159,5,1877307,9.0,164,262193.6772198801,201.75066072152063,125.69830587,45.16,Critical
Barwani,0.86377453,0.58771354,0.27606099,7,10,1771460,6.0,17,15301.420289138001,12.427396414307266,5.18264718,26.14,Moderate
Bastar,1.887109361,0.254405482,1.632703879,9,38,948753,4.0,47,17904.00667576833,25.972106527463644,7.548437444,23.63,Moderate
Basti,4.958766648,0.322726847,4.636039801,188,14,2718480,19.0,202,134803.0795725504,73.46702294897703,94.216566312,40.42,Critical
Bathinda,4.083232034,0.018454025,4.064778009,24,5,1697487,7.0,29,69312.33295698559,58.57257551127788,28.582624238,30.32,High
Baudh,2.608651472,0.899336006,1.709315466,30,0,520532,32.0,30,13578.86568023104,34.33665821002216,83.476847104,38.81,Critical
Begusarai,21.87259266,1.072873296,20.79971936,126,10,3830215,22.0,136,837767.3249522189,331.55420317287667,481.19703852,64.52,Critical
Belagavi,1.274110942,0.55806105,0.716049892,63,2,5439561,6.0,65,69306.04189776462,19.760453017203258,7.6446656520000005,31.1,High
Bengaluru Rural,0.192307509,0.071765205,0.120542304,164,135,1355031,4.0,299,2605.82636227779,2.7152542634043306,0.769230036,22.91,Low
Betul,0.659609051,0.086627039,0.572982012,26,2,1776782,6.0,28,11719.81488853882,9.491982010025263,3.9576543060000002,25.74,Moderate
Bhadohi,12.0892717,1.079228201,11.0100435,36,0,1805095,30.0,36,218222.838993115,174.1595512168659,362.67815099999996,54.25,Critical
Bhadradri Kothagudem,1.367448139,0.625093908,0.742354231,2,0,1149137,8.0,2,15713.85252106043,19.08208603392437,10.939585112,26.23,Moderate
Bhadrak,10.96625941,2.562091316,8.404168094,68,0,1613470,23.0,68,176937.305702527,156.75059692397613,252.22396643,48.81,Critical
Bhagalpur,16.20260487,2.47274559,13.72985928,161,12,3509828,20.0,173,568683.5624566235,244.19071979479412,324.0520974,56.52,Critical
Bhandara,2.564278476,0.742932408,1.821346068,91,26,1132270,5.0,117,29034.555900205203,35.74536475100138,12.82139238,25.91,Moderate
Bharatpur,2.342300583,0.003684995,2.338615588,98,252,2952552,5.0,350,69157.64270937815,34.89601752143728,11.711502915,29.2,High
Bharuch,3.432850261,1.612396534,1.820453727,233,56,1704669,14.0,289,58518.73421568609,49.25756366746627,48.059903654,34.19,High
Bhavnagar,1.164791431,1.145481372,0.019310059,225,6,2765060,14.0,231,32207.1819420086,17.27685422614637,16.307080034000002,33.18,High
Bhilwara,0.795160097,0.045229947,0.74993015,85,4,2821404,20.0,89,22434.67878316188,11.810310588907342,15.90320194,35.96,High
Bhind,2.808721208,0.119319241,2.689401967,25,0,1937516,6.0,25,54419.42280039328,40.661626091679125,16.852327248,28.73,High
Bhiwani,2.188213606,0.000980524,2.187233082,31,6,1296415,5.0,37,28368.3294202249,30.799356162211186,10.94106803,25.74,Moderate
Bhojpur,6.197224303,0.810391565,5.386832738,119,0,3338604,21.0,119,206900.7784689301,93.08890047961593,130.141710363,44.1,Critical
Bhopal,0.626374883,0.626869321,0.000494438,64,13,2938719,4.0,77,18407.39769794877,9.328904717860517,2.505499532,26.7,Moderate
Bid,0.847814579,0.573485427,0.274329152,242,15,3032850,4.0,257,25712.944459201502,12.653644172032342,3.391258316,27.08,Moderate
Bidar,1.344650341,0.577171919,0.767478422,89,7,1848763,8.0,96,24859.39798378183,19.403341890202878,10.757202728,28.08,Moderate
Bijapur,2.067319021,0.119061839,1.948257182,85,20,275997,9.0,105,5705.738478389369,25.89968051536797,18.605871189,21.83,Low
Bijnor,3.55139876,0.063788983,3.487609777,56,0,4311589,24.0,56,153121.71828229638,54.254070028617726,85.23357024,43.39,Critical
Bikaner,0.693208661,0.008307225,0.684901436,61,23,3124233,14.0,84,21657.45374582013,10.36672734852858,9.704921254,32.7,High
Bilaspur,3.7902931215000004,2.3207039345,1.469589187,111,9,2180689,5.0,120,82654.50516830715,55.319903847930675,18.9514656075,30.55,High
Birbhum,4.557102699,0.073826304,4.483276395,186,1,4082552,31.0,187,186046.08738007848,69.36927948094369,141.27018366899998,48.52,Critical
Bishnupur,3.487839839,3.486841412,0.000998427,1,0,299943,6.0,1,10461.53144829177,43.98637268398226,20.927039034,23.27,Low
Biswanath,5.175865068,2.020191719,3.155673349,56,1,666698,10.0,57,34507.388891054645,69.40883682757112,51.75865068,30.38,High
Bokaro,1.369848729,1.347818433,0.022030296,12,1,2426002,2.0,13,33232.55756251458,20.139181229699563,2.739697458,25.92,Moderate
Bongaigaon,11.75738514,3.469432123,8.287953017,79,1,803266,11.0,80,94443.0773186724,159.85861031003702,129.33123654,40.26,Critical
Botad,0.962947549,0.085839662,0.877107887,38,1,737921,17.0,39,7105.792183056291,13.010955754297438,16.370108333,29.08,High
Budaun,3.899941243,0.043402472,3.856538771,90,4,3653296,23.0,94,142476.39743286927,58.93256047620475,89.698648589,42.56,Critical
Bulandshahr,4.647089954,0.043817515,4.603272439,142,1,4116049,24.0,143,191276.49958071744,70.77705985687793,111.530158896,44.54,Critical
Buldana,0.570331597,0.427298223,0.143033374,92,7,2939030,3.0,99,16762.2167353091,8.494285251022715,1.710994791,25.98,Moderate
Bundi,2.12987866,0.138460405,1.991418255,137,4,1323567,17.0,141,28190.3710838022,30.02243238524108,36.207937220000005,32.86,High
Burhanpur,0.821960718,0.136420671,0.685540047,15,10,917654,6.0,25,7542.75540715572,11.285172789546047,4.931764308,23.33,Low
Buxar,5.8158623,0.526160857,5.289701443,89,0,2014287,25.0,89,117148.158246801,84.42175637711098,145.3965575,43.88,Critical
Cachar,9.573358688,0.339758463,9.233600225,194,33,2105643,8.0,227,201580.75707876385,139.38936538174286,76.586869504,38.59,Critical
Central,7.250541685,0.0,7.250541685,5,13,1667718,3.0,18,120918.5887782483,103.87827422631491,21.751625054999998,31.77,High
Chamarajanagara,2.083532915,0.145853665,1.93767925,20,1,1089392,9.0,21,22697.8408933768,28.963464449178186,18.751796235,27.32,Moderate
Chamba,0.400300346,0.191863584,0.208436762,125,13,586226,5.0,138,2346.66470634196,5.316573980321101,2.0015017299999998,20.46,Low
Chamoli,1.044647093,0.05612071,0.988526383,1546,75,426828,4.0,1621,4458.84629411004,13.542949851769016,4.178588372,19.35,Low
Champawat,1.472908997,0.256522301,1.216386696,26,14,293584,2.0,40,4324.225149752479,18.54381009895133,2.945817994,17.28,Low
Champhai,0.919185436,0.0,0.919185436,9,8,136805,3.0,17,1257.4916357198,10.870580317602988,2.757556308,14.06,Low
Chandauli,8.940225734,1.049386239,7.890839495,40,1,2179069,28.0,41,194813.68749961647,130.47730857411582,250.326320552,49.96,Critical
Chandel,0.632996,0.002124825,0.630871175,0,0,125173,7.0,0,792.34008308,7.4297652607657225,4.430972,15.71,Low
Chandigarh,0.001739235,0.000745464,0.000993771,17,13,897511,2.0,30,15.609825440849999,0.02384035813227414,0.00347847,19.83,Low
Chandrapur,1.760192182,0.535308039,1.224884143,114,20,2348545,5.0,134,41338.9054807519,25.82079944611322,8.80096091,27.76,Moderate
Changlang,2.538486995,0.021259348,2.517227647,4,1,183018,5.0,5,4645.8881285091,30.759723335037258,12.692434975,18.39,Low
Charaideo,16.05397104,0.010879162,16.04309188,50,1,496227,18.0,51,79664.1388726608,210.5444713377584,288.97147872,46.55,Critical
Charki Dadri,0.854921696,0.002355435,0.852566261,2,0,545880,7.0,2,4666.8465541248,11.293649213250346,5.984451872,21.84,Low
Chatra,0.37639693,0.036811514,0.339585416,8,3,1313082,2.0,11,4942.4003363826005,5.30263793088191,0.75279386,21.82,Low
Chengalpattu,4.817890104,2.065380723,2.752509381,36,4,3240797,10.0,40,156138.03795372887,72.22658119349522,48.17890104,36.24,High
Chennai,4.645634657,1.072848464,3.572786193,238,21,5558758,8.0,259,258239.58814676004,72.1508196533789,37.165077256,36.67,High
Chhatarpur,1.27766675,0.251215844,1.026450906,12,0,2100270,6.0,12,26834.451450225,18.59973201934318,7.666000500000001,27.22,Moderate
Chhindwara,0.626598635,0.382961008,0.243637627,33,6,2383077,5.0,39,14932.327952998949,9.200913881673955,3.132993175,26.38,Moderate
Chikkaballapura,0.292140809,0.110670649,0.18147016,34,7,1326139,7.0,41,3874.19320306451,4.1185377379857115,2.044985663,24.72,Moderate
Chikkamagaluru,1.355001002,0.868566012,0.48643499,40,6,1168539,7.0,46,15833.71515876078,18.931078974329843,9.485007014,25.77,Moderate
Chirang,2.875769392,0.021873585,2.853895807,56,1,616102,9.0,57,17717.67273949984,38.33736902456428,25.881924528,25.98,Moderate
Chitradurga,0.426895091,0.23997582,0.186919271,99,3,1798153,9.0,102,7676.226885669231,6.1482588493732875,3.842055819,27.32,Moderate
Chitrakoot,2.917583682,0.454897641,2.462686041,41,3,1269815,24.0,44,37047.915231588304,41.004837235288726,70.022008368,37.88,Critical
Chittaurgarh,1.068551638,1.101782041,0.033230403,4,0,1838803,10.0,4,19648.55957609314,15.413457652476433,10.68551638,29.07,High
Chittoor,0.573483172,0.068957975,0.504525197,124,0,4580686,8.0,124,26269.46337215992,8.795717601880176,4.587865376,30.57,High
Chota Udaipur,0.859683354,0.747200646,0.112482708,22,0,1206205,16.0,22,10369.5436001157,12.038137799770661,13.754933664,30.55,High
Churachandpur,1.167264968,0.2279733,0.939291668,0,0,257051,7.0,0,3000.46627289368,14.540659017573237,8.170854776,19.31,Low
Churu,0.776519408,0.00062635,0.775893058,43,14,2206492,25.0,57,17133.838615967357,11.34255293822021,19.412985199999998,37.89,Critical
Coimbatore,0.519629022,0.20279264,0.316836382,142,24,4180340,5.0,166,21722.2598582748,7.922213862918732,2.5981451100000004,28.42,High
Cooch Behar,7.872524259,0.371070198,7.501454061,337,3,3286533,8.0,340,258733.1077050405,118.12993522133945,62.980194072,38.29,Critical
Cuddalore,6.561569456,0.689771711,5.871797745,63,10,2998319,4.0,73,196736.78369744463,97.8563774253611,26.246277824,34.08,High
Cuttack,13.14840204,1.638891263,11.50951078,285,2,2887779,16.0,287,379696.7929466916,195.59561032360293,210.37443264,49.37,Critical
Dadra & Nagar Haveli,3.614704922,0.645537217,2.969167705,10,0,618459,1.0,10,22355.46791355198,48.202046021475006,3.614704922,22.41,Low
Dakshin Bastar Dantewada,1.73160173,0.05840241,1.67319932,0,0,332104,7.0,0,5750.7186093992,22.014210305104587,12.12121211,20.96,Low
Dakshin Dinajpur,3.854366613,0.005980479,3.848386134,190,3,1838248,24.0,193,70852.81717614025,55.596633018237036,92.504798712,40.35,Critical
Dakshina Kannada,1.44861205,0.422123179,1.026488871,117,41,2388502,8.0,158,34600.127786491,21.274573503475512,11.5888964,29.17,High
Daman,2.853534384,1.308995942,1.544538442,0,0,190125,7.0,0,5425.28224758,34.68597252508922,19.974740688,20.54,Low
Damoh,1.37672163,0.183081246,1.193640384,26,0,1437365,6.0,26,19788.5148570495,19.519603717069995,8.26032978,25.81,Moderate
Darbhanga,10.08119281,0.024744941,10.05644787,207,9,4562640,18.0,216,459968.53562618396,154.5790846268729,181.46147058,48.07,Critical
Darjiling,2.014600116,0.096238867,1.918361249,548,63,1849559,11.0,611,37261.21775948844,29.071603027422256,22.160601276,30.5,High
Darrang,15.62408864,3.822695958,11.80139268,150,3,1126535,9.0,153,176010.826960624,217.71633169343207,140.61679776,45.28,Critical
Datia,2.46515688,0.299925165,2.165231715,9,0,955153,6.0,9,23546.019894026398,33.94429286153123,14.790941279999998,25.55,Moderate
Dausa,0.503371084,0.004574126,0.498796958,17,3,2162212,30.0,20,10883.949982778078,7.342494194239317,15.101132519999998,40.42,Critical
Davanagere,0.757147753,0.419899366,0.337248387,57,6,2110205,11.0,63,15977.369741193652,11.02580979412123,8.328625283000001,29.59,High
Debagarh,2.166747854,2.19247626,0.025728406,36,0,351390,32.0,36,7613.7352841706,27.66862222645662,69.335931328,37.14,High
Dehradun,1.565549733,0.084799737,1.480749996,232,17,2132260,6.0,249,33381.5907368658,22.81427638206735,9.393298398,27.57,Moderate
Deoghar,0.900022929,0.088257849,0.81176508,3,0,1878226,4.0,3,16904.46465843954,13.00158615288163,3.600091716,25.08,Moderate
Deoria,7.998150162,0.303328624,7.694821538,211,11,3288259,19.0,222,262999.8925354796,120.01919443276361,151.964853078,44.9,Critical
Devbhumi Dwarka,0.632384691,0.65675835,0.024373659,59,2,898223,20.0,61,5680.224743040931,8.668839859388113,12.64769382,31.42,High
Dewas,1.037523564,0.405980697,0.631542867,17,18,1839994,5.0,35,19090.371326186163,14.966561082289989,5.18761782,25.86,Moderate
Dhalai,1.167627679,0.830802532,0.336825147,12,1,436885,4.0,13,5101.19018539915,15.164479910300317,4.670510716,19.85,Low
Dhamtari,1.523869436,1.570806706,0.04693727,13,1,897907,1.0,14,13682.930336704521,20.888932339444466,1.523869436,21.64,Low
Dhanbad,1.331577575,1.123698027,0.207879548,1,1,3014375,1.0,2,40138.74152640625,19.86567721309393,1.331577575,26.07,Moderate
Dhar,0.815779757,0.487835201,0.327944556,14,0,2722423,5.0,14,22208.97573391211,12.087435757943714,4.078898785,27.17,Moderate
Dharmapuri,0.764553583,0.519672081,0.244881502,28,4,1771524,6.0,32,13544.250215704918,10.99990099816231,4.587321498,26.0,Moderate
Dharwad,0.419364228,0.136242811,0.283121417,123,30,2085599,7.0,153,8746.25614552572,6.1019873562998495,2.935549596,26.69,Moderate
Dhaulpur,3.16604113,0.385474633,2.780566497,62,0,1501877,21.0,62,47550.04354201009,45.02815527168737,66.48686373,37.06,High
Dhemaji,10.8217802,1.436232391,9.385547809,162,35,702202,9.0,197,75990.75700000399,145.6825649711461,97.3960218,36.71,High
Dhenkanal,1.607306371,0.725516959,0.881789412,140,0,1387551,28.0,140,22302.195623874206,22.732216944276516,45.004578388,39.07,Critical
Dhubri,11.79092943,2.559481456,9.231447974,141,3,1376422,12.0,144,162292.9466789946,166.66477172886616,141.49115316,42.72,Critical
Dhule,0.703409115,0.475721838,0.227687277,58,4,2456650,4.0,62,17280.3000236475,10.350179492356649,2.81363646,26.04,Moderate
Dibrugarh,14.95295738,3.039084044,11.91387334,147,47,1510242,10.0,194,225825.84259485963,212.74740474412835,149.5295738,45.95,Critical
Dima Hasao,1.849797408,0.192925704,1.656871704,41,1,288305,8.0,42,5333.0584171344,23.25524179428245,14.798379264,21.17,Low
Dimapur,1.720970931,0.004473913,1.716497018,1,0,510639,4.0,1,8787.948752349092,22.61944396031996,6.883883724,20.87,Low
Dindigul,0.458409501,0.079067201,0.3793423,52,12,2457758,6.0,64,11266.596183587579,6.7453860259821345,2.750457006,26.78,Moderate
Dindori,1.451159302,0.207929959,1.243229343,3,0,917721,7.0,3,13317.59365790742,19.923909008131307,10.158115114,24.71,Moderate
Diu,5.79981831,4.979981831,0.819836479,0,0,67412,7.0,0,3909.7735191372003,64.48582017132162,40.59872817,21.26,Low
Doda,0.541398151,0.270867996,0.270530155,122,34,563657,4.0,156,3051.62857598207,7.169304199647285,2.165592604,19.91,Low
Dohad,0.331645594,0.201923678,0.129721916,25,0,2742293,25.0,25,9094.69390907042,4.916415554885164,8.29113985,38.28,Critical
Dumka,0.826039058,0.598250003,0.227789055,8,0,1522340,6.0,8,12575.122995557202,11.759293647829885,4.956234348,25.5,Moderate
Dungarpur,0.586707161,0.388930127,0.197777034,10,3,1670388,30.0,13,9800.28601248468,8.406672919393165,17.60121483,39.62,Critical
Durg,1.029480865,0.598727155,0.43075371,16,0,2010685,2.0,16,20699.61733042525,14.941871392410773,2.05896173,24.5,Moderate
East ,0.1,0.0,0.1,0,0,1368632,7.0,0,1368.632,1.4129322989441317,0.7000000000000001,24.57,Moderate
East District,0.934153719,0.10298745,0.831166269,146,8,337891,2.0,154,3156.42134266629,11.892226728291625,1.868307438,17.12,Low
East Garo Hills,0.691122728,0.004744409,0.686378319,20,0,188522,4.0,20,1302.91838928016,8.395050702374235,2.764490912,15.65,Low
East Godavari,6.191781457,2.48908494,3.702696517,222,1,5569277,9.0,223,344837.46057496587,96.17555429192758,55.726033113,39.63,Critical
East Jaintia Hills,1.649728103,0.02228155,1.627446553,4,0,150787,5.0,4,2487.5755146706097,19.670747757789766,8.248640515,16.53,Low
East Kameng,1.388336152,0.061410827,1.326925325,0,0,87734,2.0,0,1218.04283959568,15.802147854599045,2.776672304,12.3,Low
East Khasi Hills,1.226830999,0.077062889,1.14976811,20,9,1005453,2.0,29,12335.209084375469,16.955969575137196,2.453661998,21.81,Low
East Nimar,1.041803014,1.03067221,0.011130804,4,0,1518478,7.0,4,15819.549570926922,14.828211217738147,7.292621098000001,26.49,Moderate
East Siang,3.916385666,1.35629866,2.560087006,13,668,86959,6.0,681,3405.6498112969402,44.54185124925901,23.498313996,18.15,Low
Ernakulam,5.103357738,3.843019755,1.260337983,136,61,3428525,5.0,197,174969.8958867645,76.79349508072222,25.51678869,34.47,High
Erode,1.28966656,0.635350328,0.654316232,64,9,2286982,6.0,73,29494.4420872192,18.884257334586923,7.73799936,27.7,Moderate
Etah,1.185341675,0.000451786,1.184889889,106,1,2068262,23.0,107,24515.971434188505,17.237499036719633,27.262858525000002,36.96,High
Etawah,8.738456012,0.23711024,8.501345772,184,13,1845391,18.0,197,161258.68078440693,126.08021094739932,157.292208216,42.89,Critical
Faizabad,4.054677701,0.247188018,3.807489683,207,5,3092832,18.0,212,125404.36943339232,60.59552849343295,72.98419861800001,39.21,Critical
Faridabad,6.911149485,0.0,6.911149485,14,2,2383525,7.0,16,164728.97576234624,101.48395114457274,48.378046395,35.12,High
Faridkot,4.441457773,0.0,4.441457773,15,1,659286,5.0,16,29281.909293300778,59.510711743377755,22.207288865,25.81,Moderate
Farrukhabad,6.314129092,0.099039455,6.215089637,76,0,2145188,20.0,76,135449.93958609295,92.05203510914066,126.28258184,41.65,Critical
Fatehabad,9.544000142,0.0,9.544000142,4,6,1056284,6.0,10,100811.74645992328,132.37784542307136,57.264000851999995,34.52,High
Fatehgarh Sahib,0.476176498,0.0,0.476176498,37,1,640240,5.0,38,3048.6724107952004,6.366289282401537,2.38088249,20.84,Low
Fatehpur,6.194245238,0.497518236,5.696727002,94,1,3038415,16.0,95,188206.8764481777,92.46055023549215,99.107923808,40.67,Critical
Fazilka,4.742047502,0.0,4.742047502,13,0,1143916,7.0,13,54245.04010297832,66.15141515550654,33.194332514,29.55,High
Firozabad,4.216316792,0.0,4.216316792,62,21,2948291,21.0,83,124309.28851002471,62.809360578092246,88.542652632,40.9,Critical
Firozpur,8.113945312,0.027828753,8.086116559,79,1,1057444,8.0,80,85800.42786502528,112.55150657989323,64.911562496,33.96,High
Gadag,0.935237691,0.161614128,0.773623563,82,8,1218001,10.0,90,11391.20442875691,13.105226113275794,9.35237691,26.95,Moderate
